word,include
foster_brother
laddie
czar
barytone
comrade
friar
beard
Romeo
sonny
tenor
macho
young_buck
lackey
groomsman
monastic
sodomist
male_sibling
godfather
sod
bugger
old_boy
masseur
male_parent
Rex
basso
young_man
jawan
countertenor
good_old_boy
boy_wonder
hospital_attendant
bondman
flunky
crown_prince
tsar
sodomite
shop_boy
Levite
enlisted_man
mother's_son
danseur
lad
bass
mendicant
townee
junior
male_offspring
flunkey
paterfamilias
begetter
male_monarch
monk
tzar
wolf_boy
homeboy
shaver
blood_brother
bondsman
sonny_boy
foster-brother
patriarch
leading_man
castrato
godson
gillie
kinsman
male_child
orderly
adult_male
good_ol'_boy
gitano
cub
danseur_noble
poster_boy
sannup
baritone
Prince_of_Wales
good_ole_boy
spokesman
man-child
